Title	Artist	URL	Playlist Title
Black Hole Sun	Soundgarden	9kIv6vVRKpw	Same Groove
Tired of Being Alone	Al Green	BEBHIV9L3uc	Same Groove
Hooked On A Feeling	Björn Skifs	7Z3uhIRkBNw	Same Groove
Play Something Sweet (Brickyard Blues)	Three Dog Night	kSJZDoUejSE	Same Groove
The Everly Brothers - Cathy's Clown (Official Audio)	The Everly Brothers	WvjuQaEBUoo	Same Groove
Tequila Sunrise (2013 Remaster)	The Eagles	1K0N7UaZpz8	Same Groove
Love Me Do (Remastered 2009)	The Beatles	0pGOFX1D_jg	Same Groove
Palisades Park	Freddy Cannon	snEqBY1WiCg	Same Groove
Crocodile Rock (Remastered)	Elton John	5GJ04MpWves	Same Groove
The Twelves (Dirty Dozen)	Kokomo Arnold	I3VodAL_iJ8	Traditional
When The Levee Breaks	Kansas Joe McCoy	ayuhW1p_7wo	Traditional
Just Because	Mick Fleetwood('s) Zoo	LWFdJ-pW-VY	50s
Lloyd Price/John Lennon - Just Because - Acoustic Cover - Danny McEvoy	TheWalrusWasDanny	xisfL1W5XIY	50s
The TRUE Top 50 Songs of 1957 - Best Of List	John Finneman	X1xzwYr_kwY	50s
The Everly Brothers - Cathy's Clown (cover by Grace)	Grace Haylor	RffvflcPno4	50s
The Beatles - You Really Got A Hold On Me (cover by Grace)	Grace Haylor	KKN8EcJ7B0c	50s
I'm Leaving It All Up To You	Dale & Grace	RBhGIH9c4TI	50s
Sugar Shack	Jimmy Gilmer	CLl5rdBW-94	50s
Sweet Soul Music	Arthur Conley	nm8LH3bHClw	50s
The Everly Brothers - Cathy's Clown (Official Audio)	The Everly Brothers	WvjuQaEBUoo	50s
Palisades Park	Freddy Cannon	snEqBY1WiCg	50s
Break It To Me Gently	Brenda Lee	t3sD_NI0rcY	50s
Sh-Boom	The Crew Cuts	CikEbEtnBcE	50s
The Great Pretender	The Platters	S3nzDxuBeE4	50s
Love Letters in The Sand	Pat Boone	yyHGBtyk9nw	50s
How High The Moon (Remastered)	Les Paul	R_MU_tywFlM	50s
The Rain The Park And Other Things	The Cowsills	uC9tALmALh0	50s
Those Were The Days (Remastered)	Mary Hopkin	kXc5Oe_kj8k	50s
Ernie Maresca - Shout! Shout! (Knock Yourself Out)	LegalSaiga	p6k3BEU1aQM	50s
Game of Love	Annie Oakley	0pLZwUSDtYU	50s
Did You Ever Have to Make Up Your Mind - Lovin' Spoonful	WCFL1000A	C0cJ__JBnWg	50s
Sally Go Round The Roses	Jaynetts	fz0w5_8GXZQ	50s
Walk Right Back	The Everly Brothers	F3K07_rT6nw	50s
All For You	Janet Jackson	6dLVFWLDw2M	D-oing
Say My Name	Destiny's Child	Ajez9PaCgek	D-oing
Got to Be Real	Cheryl Lynn	GLUCCewe_4c	Monster V
Bring It All to Me	Blaque	FZjnAud8ofI	Monster V
I Do!!	Toya	mRBdOnK9KP8	Monster V
All For You	Janet Jackson	6dLVFWLDw2M	Monster V
Doesn't Really Matter	Janet Jackson	jU-6eKwAoeo	Monster V
Play	Jennifer Lopez	zKk5UsPWiqk	Monster V
Independent Women, Pt. 1	Destiny's Child	2EZ45YkNwX8	Monster V
Do It To It	Cherish	HPTDgfhhJ3s	Monster V
Shackles	Mary Mary	BhYhZzln8KU	Monster V
No Scrubs	TLC	q3MkrF5fPew	Monster V
Waterfalls	TLC	A_iTphwVNYs	Monster V
Unpretty	TLC	02DUe4UJOls	Monster V
Never Ever	All Saints	0980VkiWtpc	Monster V
Are You That Somebody	Aaliyah	o-7ZZIqWjoU	Monster V
4 Page Letter	Aaliyah	59vnNBNKp98	Monster V
Say My Name	Destiny's Child	Ajez9PaCgek	Monster V
Don't Let Go (Love)	En Vogue	KZlcqLbDc7A	Monster V
The Boy Is Mine (Radio Edit)	Brandy	oxOX8ILbRyY	Monster V
